,repository,package,ghsa,fix_commit,fix_commit_parent,date,committer_date,source,dep_file_fix,lockfile_fix,dep_file_inspired,lockfile_inspired,inspired,fix_time
1244,software-mansion/react-native-reanimated,acorn,GHSA-6chw-6frg-f759,1f25d118f0e42f19802a70e4a6a252298af0e605,21151982adf9ed26c5add277b140db2fc25b9522,2020-04-06T14:11:16+02:00,2020-04-06T14:11:16+02:00,SOFTWARE_HERITAGE,0,0,0,0,0,
1245,software-mansion/react-native-reanimated,acorn,GHSA-6chw-6frg-f759,652e00ca1f3be56988a003f1c0267ee702c8a96c,efb625654540dadbc4751e0c09af6cc18733ceaa,2021-02-03T16:47:22+01:00,2021-02-05T08:22:08+01:00,SOFTWARE_HERITAGE,0,0,0,0,0,
1246,sparkdesignsystem/spark-design-system,lodash,GHSA-jf85-cpcp-j695,3853e6c7a6b386b8ae26238b3a6ae1f1bae07de3,6667c9aa26ae7c26c6bf88f3795ecac40db4c2af,2019-08-19 16:21:15-04:00,2019-08-19 16:21:15-04:00,GITHUB,0,1,0,0,0,"3,5"
1247,sparkdesignsystem/spark-design-system,lodash,GHSA-jf85-cpcp-j695,f77d976284cc60da71395f3bc0de3d3a983892af,690b07127b9e542f190713bb1cec8da46110323a,2019-07-31 10:15:33-04:00,2019-08-20 09:03:15-04:00,GITHUB,0,1,0,0,0,"3,21"
1248,spencermountain/compromise,acorn,GHSA-6chw-6frg-f759,6b9c3bacff0dc36fd1aafdd4b28ab8117db4653b,5ca3a7ffc04dc2e9743d37bab0743e0eeaf1b512,2020-06-11 12:59:14-04:00,2020-06-11 12:59:14-04:00,GITHUB,0,0,0,0,0,
1249,spencermountain/compromise,acorn,GHSA-6chw-6frg-f759,3eba793366f986223a0144a83223bc2498ce2457,84e51444f10ca5824b6dd4b9ac9bfb7d8197b325,2020-12-16 14:36:23-05:00,2020-12-16 14:36:23-05:00,GITHUB,0,0,0,0,0,
1250,spencermountain/compromise,minimist,GHSA-vh95-rmgr-6w4m,44d6e00fc3db0530b49916beca20fb7d05e09c00,ec61359e6a5b5854e49ab1829021ea7f33ef6003,2020-04-25 12:31:55-04:00,2020-04-25 12:31:55-04:00,GITHUB,0,1,0,0,0,"39,1"
1251,spencermountain/compromise,minimist,GHSA-vh95-rmgr-6w4m,3eba793366f986223a0144a83223bc2498ce2457,84e51444f10ca5824b6dd4b9ac9bfb7d8197b325,2020-12-16 14:36:23-05:00,2020-12-16 14:36:23-05:00,GITHUB,0,1,0,0,0,"274,4"
1252,spencermountain/compromise,minimist,GHSA-vh95-rmgr-6w4m,6b9c3bacff0dc36fd1aafdd4b28ab8117db4653b,5ca3a7ffc04dc2e9743d37bab0743e0eeaf1b512,2020-06-11 12:59:14-04:00,2020-06-11 12:59:14-04:00,GITHUB,0,1,0,0,0,"86,2"
1253,spencermountain/compromise,minimist,GHSA-vh95-rmgr-6w4m,045593b339bf009914723fedd156a4c1e030fb12,f0c3905f6ddc728e63bc3ccc6d9726de5ff0bfad,2020-12-16 15:07:20-05:00,2020-12-16 15:07:20-05:00,GITHUB,0,1,0,0,0,"274,5"
1254,spencermountain/compromise,acorn,GHSA-6chw-6frg-f759,045593b339bf009914723fedd156a4c1e030fb12,f0c3905f6ddc728e63bc3ccc6d9726de5ff0bfad,2020-12-16 15:07:20-05:00,2020-12-16 15:07:20-05:00,GITHUB,0,0,0,0,0,
1255,spring-io/dataflow.spring.io,acorn,GHSA-6chw-6frg-f759,94e0e7b021f8fef26e7c35ba902d0946318df0a6,3d7842aaf52b04dbabf8d9e079c40f5b52cef50d,2020-03-25T15:57:30-05:00,2020-03-25T16:00:43-05:00,SOFTWARE_HERITAGE,0,0,0,0,0,
1256,steedos/steedos-platform,codecov,GHSA-5q88-cjfq-g2mh,d1a36a7487f8ec0c8935584dc9e07a2922efb7d0,6c5efea370091be04e5743335a1e0488c813f0db,2020-09-19 12:22:06+08:00,2020-09-19 12:22:06+08:00,GITHUB,0,1,0,0,0,"173,0"
1257,steedos/steedos-platform,auth0-lock,GHSA-w2pf-g6r8-pg22,81d31bca54c6c4333a3df6eff2bc2c94fec5a9f6,6b1cf330b1764773cb1a0a57a091abebdb621e68,2020-09-12 12:09:12+08:00,2020-09-12 12:09:12+08:00,GITHUB,0,0,0,0,0,
1258,steedos/steedos-platform,acorn,GHSA-6chw-6frg-f759,ec986438c9a61810448db36a1802c05cc80f881d,a306962282f75b38e015f80778d25349c0d8cbe6,2020-09-22 11:23:12+08:00,2020-09-22 11:23:12+08:00,GITHUB,0,1,0,1,1,"175,23"
1259,steedos/steedos-platform,auth0-js,GHSA-prfq-f66g-43mp,81d31bca54c6c4333a3df6eff2bc2c94fec5a9f6,6b1cf330b1764773cb1a0a57a091abebdb621e68,2020-09-12 12:09:12+08:00,2020-09-12 12:09:12+08:00,GITHUB,0,0,0,0,0,
1260,steedos/steedos-platform,https-proxy-agent,GHSA-pc5p-h8pf-mvwp,d1a36a7487f8ec0c8935584dc9e07a2922efb7d0,6c5efea370091be04e5743335a1e0488c813f0db,2020-09-19 12:22:06+08:00,2020-09-19 12:22:06+08:00,GITHUB,0,1,0,1,1,"155,4"
1261,steemit/condenser,highcharts,GHSA-xmc8-cjfr-phx3,8df34f9ef4693982934f0dc885047081c2a2ddfd,e6f8b97384c470e22e63d8e94168fd8a076b35d6,2019-11-14 18:01:09-06:00,2019-11-14 18:01:09-06:00,GITHUB,0,0,0,0,0,
1262,steemit/condenser,minimist,GHSA-vh95-rmgr-6w4m,537702ecdb4cd8e267d9a910d2628db335060c14,96af38a7ab4bf017f44ff1fcc8879bd044766b1d,2020-04-02 14:53:07+08:00,2020-04-02 14:53:07+08:00,GITHUB,1,1,1,0,1,"17,3"
1263,steemit/condenser,lodash.merge,GHSA-jf85-cpcp-j695,3773e12e021eb7c9c6eb05a395596f14e565f892,1393892b0b403c674c79b65500e46fe7c61869be,2020-08-21 17:48:59-07:00,2020-08-21 17:48:59-07:00,GITHUB,0,1,0,0,0,"143,7"
1264,steemit/condenser,jquery,GHSA-gxr4-xjj5-5px2,3773e12e021eb7c9c6eb05a395596f14e565f892,1393892b0b403c674c79b65500e46fe7c61869be,2020-08-21 17:48:59-07:00,2020-08-21 17:48:59-07:00,GITHUB,0,1,0,0,0,"113,23"
